group,category,publisher,year,type,is_llm_related,title,link,authors,code
Assessment,Knowledge Tracing,MM,2023,conference,0,Adversarial Bootstrapped Question Representation Learning for Knowledge Tracing,https://dl.acm.org/doi/10.1145/3581783.3612044,"Jianwen Sun, Fenghua Yu, Sannyuya Liu, Yawei Luo, Ruxia Liang, Xiaoxuan Shen",
Assessment,Knowledge Tracing,NeurIPS,2015,conference,0,Deep Knowledge Tracing,https://arxiv.org/abs/1506.05908,"Chris Piech, Jonathan Spencer, Jonathan Huang, Surya Ganguli, Mehran Sahami, Leonidas Guibas, Jascha Sohl-Dickstein",
Assessment,Knowledge Tracing,NeurIPS,2023,conference,0,Evolutionary Neural Architecture Search for Transformer in Knowledge Tracing,https://openreview.net/forum?id=G14N38AjpU,"Shangshang Yang, Xiaoshan Yu, Ye Tian, Xueming Yan, Haiping Ma, Xingyi Zhang",
Assessment,Knowledge Tracing,SIGIR,2019,conference,0,Knowledge Tracing with Sequential Key-Value Memory Networks,https://dl.acm.org/doi/10.1145/3331184.3331195,"Ghodai Abdelrahman, Qing Wang",
Assessment,Knowledge Tracing,SIGIR,2021,conference,0,Tracing Knowledge State with Individual Cognition and Acquisition Estimation,https://dl.acm.org/doi/10.1145/3404835.3462827,"Ting Long, Yunfei Liu, Jian Shen, Weinan Zhang, Yong Yu",
Assessment,Knowledge Tracing,SIGIR,2022,conference,0,HGKT: Introducing Hierarchical Exercise Graph for Knowledge Tracing,https://arxiv.org/abs/2006.16915,"Hanshuang Tong, Zhen Wang, Yun Zhou, Shiwei Tong, Wenyuan Han, Qi Liu",
Assessment,Knowledge Tracing,SIGIR,2022,conference,0,Assessing Student's Dynamic Knowledge State by Exploring the Question Difficulty Effect,http://staff.ustc.edu.cn/~cheneh/paper_pdf/2022/Shuanghong-Shen-SIGIR.pdf,"Shuanghong Shen, Zhenya Huang, Qi Liu, Yu Su, Shijin Wang, Enhong Chen",
Assessment,Knowledge Tracing,TKDE,2019,journal,0,EKT: Exercise-Aware Knowledge Tracing for Student Performance Prediction,https://arxiv.org/abs/1906.05658,"Qi Liu, Zhenya Huang, Yu Yin, Enhong Chen, Hui Xiong, Yu Su, Guoping Hu",
Assessment,Knowledge Tracing,TKDE,2023,journal,0,Monitoring Student Progress for Learning Process-Consistent Knowledge Tracing,https://ieeexplore.ieee.org/document/9950313,"Shuanghong Shen, Enhong Chen, Qi Liu, Zhenya Huang, Wei Huang, Yu Yin, Yu Su, Shijin Wang",
Assessment,Knowledge Tracing,TOIS,2023,journal,0,Fine-Grained Interaction Modeling with Multi-Relational Transformer for Knowledge Tracing,https://dl.acm.org/doi/10.1145/3580595,"Jiajun Cui, Zeyuan Chen, Aimin Zhou, Jianyong Wang, Wei Zhang",
Assessment,Knowledge Tracing,WSDM,2021,conference,0,Temporal Cross-Effects in Knowledge Tracing,https://dl.acm.org/doi/10.1145/3437963.3441802,"Chenyang Wang, Weizhi Ma, Min Zhang, Chuancheng Lv, Fengyuan Wan, Huijie Lin, Taoran Tang, Yiqun Liu, Shaoping Ma",
Assessment,Knowledge Tracing,WSDM,2022,conference,0,Improving Knowledge Tracing with Collaborative Information,https://dl.acm.org/doi/10.1145/3488560.3498374,"Ting Long, Jiarui Qin, Jian Shen, Weinan Zhang, Wei Xia, Ruiming Tang, Xiuqiang He, Yong Yu",
Assessment,Knowledge Tracing,WWW,2017,conference,0,Dynamic Key-Value Memory Networks for Knowledge Tracing,https://arxiv.org/abs/1611.08108,"Jiani Zhang, Xingjian Shi, Irwin King, Dit-Yan Yeung",
Assessment,Knowledge Tracing,WWW,2019,conference,0,Augmenting Knowledge Tracing by Considering Forgetting Behavior,https://dl.acm.org/doi/10.1145/3308558.3313565,"Koki Nagatani, Qian Zhang, Masahiro Sato, Yan-Ying Chen, Francine Chen, Tomoko Ohkuma",
Assessment,Knowledge Tracing,WWW,2022,conference,0,Contrastive Learning for Knowledge Tracing,https://dl.acm.org/doi/10.1145/3485447.3512105,"Wonsung Lee, Jaeyoon Chun, Youngmin Lee, Kyoungsoo Park, Sungrae Park",
Assessment,Knowledge Tracing,WWW,2023,conference,0,Tracing Knowledge Instead of Patterns: Stable Knowledge Tracing with Diagnostic Transformer,https://dl.acm.org/doi/10.1145/3543507.3583255,"Yu Yin, Le Dai, Zhenya Huang, Shuanghong Shen, Fei Wang, Qi Liu, Enhong Chen, Xin Li",
Assessment,Knowledge Tracing,WWW,2023,conference,0,Enhancing Deep Knowledge Tracing with Auxiliary Tasks,https://dl.acm.org/doi/10.1145/3543507.3583866,"Zitao Liu, Qiongqiong Liu, Jiahao Chen, Shuyan Huang, Boyu Gao, Weiqing Luo, Jian Weng",
Assessment,Knowledge Tracing,WWW,2024,conference,0,Interpretable Knowledge Tracing with Multiscale State Representation,https://dl.acm.org/doi/10.1145/3589334.3645373,"Jianwen Sun, Fenghua Yu, Qian Wan, Qing Li, Sannyuya Liu, Xiaoxuan Shen",
Assessment,Knowledge Tracing,WWW,2024,conference,0,Question Difficulty Consistent Knowledge Tracing,https://dl.acm.org/doi/10.1145/3589334.3645582,"Guimei Liu, Huijing Zhan, Jung-jae Kim",
Assessment,Knowledge Tracing,arXiv,2020,preprint,0,Assessment Modeling: Fundamental Pre-training Tasks for Interactive Educational Systems,https://arxiv.org/abs/2002.05505,"Youngduck Choi, Youngnam Lee, Junghyun Cho, Jineon Baek, Dongmin Shin, Hangyeol Yu, Yugeun Shim, Seewoo Lee, Jonghun Shin, Chan Bae, Byungsoo Kim, Jaewe Heo",
Assessment,Knowledge Tracing,arXiv,2024,preprint,0,Language Model Can Do Knowledge Tracing: Simple but Effective Method to Integrate Language Model and Knowledge Tracing Task,https://arxiv.org/abs/2406.02893,"Shangshang Yang, Linrui Qin, Xiaoshan Yu",
Assessment,Knowledge Tracing,arXiv,2024,preprint,0,Enhancing Deep Knowledge Tracing via Diffusion Models for Personalized Adaptive Learning,https://arxiv.org/abs/2405.05134,"Ming Kuo, Shouvon Sarker, Lijun Qian, Yujian Fu, Xiangfang Li, Xishuang Dong",
Assessment,Question Generation,AAAI,2021,conference,0,EQG-RACE: Examination-Type Question Generation,https://arxiv.org/abs/2012.06106,"Xin Jia, Wenjie Zhou, Xu Sun, Yunfang Wu",
Assessment,Question Generation,CHI,2023,conference,0,ReadingQizMaker: A Human-NLP Collaborative System that Supports Instructors to Design High-Qality Reading Qiz Qestions,https://dl.acm.org/doi/10.1145/3544548.3580957,"Xinyi Lu, Simin Fan, Jessica Houghton, Lu Wang, Xu Wang",
Assessment,Question Generation,EDM,2024,conference,1,Math Multiple Choice Question Generation via Human-Large Language Model Collaboration,https://arxiv.org/abs/2405.00864,"Jaewook Lee, Digory Smith, Simon Woodhead, Andrew Lan",
Assessment,Question Generation,NAACL - BEA workshop,2024,workshop,1,Improving Automated Distractor Generation for Math Multiple-choice Questions with Overgenerate-and-rank,https://arxiv.org/abs/2405.05144,"Alexander Scarlatos, Wanyong Feng, Digory Smith, Simon Woodhead, Andrew Lan",
Assessment,Question Generation,NAACL findings,2024,conference,1,Exploring Automated Distractor Generation for Math Multiple-choice Questions via Large Language Models,https://arxiv.org/abs/2404.02124,"Wanyong Feng, Jaewook Lee, Hunter McNichols, Alexander Scarlatos, Digory Smith, Simon Woodhead, Nancy Otero Ornelas, Andrew Lan",
Assessment,Question Generation,arXiv,2024,preprint,1,Multiple Choice Questions and Large Languages Models: A Case Study with Fictional Medical Data,https://arxiv.org/abs/2406.02394,"Maxime Griot, Jean Vanderdonckt, Demet Yuksel, Coralie Hemptinne",
Assessment,Question Generation,arXiv,2024,preprint,1,Leveraging Large Language Models for Concept Graph Recovery and Question Answering in NLP Education,https://arxiv.org/abs/2402.14293,"Rui Yang, Boming Yang, Sixun Ouyang, Tianwei She, Aosong Feng, Yuang Jiang, Freddy Lecue, Jinghui Lu, Irene Li",
Assessment,Question Generation,WWW,2020,conference,0,Improving Learning Outcomes with Gaze Tracking and Automatic Question Generation,https://dl.acm.org/doi/10.1145/3366423.3380240,"Rohail Syed, Kevyn Collins-Thompson, Paul N. Bennett, Mengqiu Teng, Shane Williams, Dr. Wendy W. Tay, Shamsi Iqbal",
Assessment,Question Retrieval,Learning Analytics and Knowledge (LAK),2024,conference,1,Large Language Model Augmented Exercise Retrieval for Personalized Language Learning,https://arxiv.org/abs/2402.16877,"Austin Xu, Will Monroe, Klinton Bicknell",
Assessment,Question Retrieval,MM,2020,conference,0,Fine-Grained Similarity Measurement between Educational Videos and Exercises,https://dl.acm.org/doi/10.1145/3394171.3413783,"Xin Wang, Wei Huang, Qi Liu, Yu Yin, Zhenya Huang, Le Wu, Jianhui Ma, Xue Wang",
Assessment,Automated Grading,arXiv,2024,preprint,1,Large Language Models As MOOCs Graders,https://arxiv.org/abs/2402.03776,"Shahriar Golchin, Nikhil Garuda, Christopher Impey, Matthew Wenger",
Assessment,Automated Grading,arXiv,2024,preprint,1,From Automation to Augmentation: Large Language Models Elevating Essay Scoring Landscape,https://arxiv.org/pdf/2401.06431,"Changrong Xiao, Wenxing Ma, Sean Xin Xu, Kunpeng Zhang, Yufang Wang, Qi Fu",
Assessment,Automated Grading,arXiv,2024,preprint,1,Large Language Models as Partners in Student Essay Evaluation,https://arxiv.org/abs/2405.18632,"Toru Ishida, Tongxi Liu, Hailong Wang, William K. Cheung",
Material Preparation,Knowledge Structuring,WWW Companion,2019,workshop,0,Using structured knowledge and traditional word embeddings to generate concept representations in the educational domain,https://dl.acm.org/doi/abs/10.1145/3308560.3316583,"Oghenemaro Anuyah, Ion Madrazo Azpiazu, Maria Soledad Pera",
Material Preparation,Content Generation,EMNLP,2023,conference,1,Generating and Evaluating Tests for K-12 Students with Language Model Simulations: A Case Study on Sentence Reading Efficiency,https://arxiv.org/abs/2310.06837,"Eric Zelikman, Wanjing Anya Ma, Jasmine E. Tran, Diyi Yang, Jason D. Yeatman, Nick Haber",
Material Preparation,Content Generation,EMNLP,2023,conference,1,On the Automatic Generation and Simplification of Children's Stories,https://arxiv.org/abs/2310.18502,"Maria Valentini, Jennifer Weber, Jesus Salcido, Téa Wright, Eliana Colunga, Katharina Kann",
Material Preparation,Content Generation,Learning@Scale - Workshop on Learnersourcing: Student-generated Content @ Scale,2022,workshop,1,Robosourcing Educational Resources – Leveraging Large Language Models for Learnersourcing,https://arxiv.org/abs/2211.04715,"Paul Denny, Sami Sarsa, Arto Hellas, Juho Leinonen",
Material Preparation,Content Generation,NAACL,2024,conference,1,Assisting in Writing Wikipedia-like Articles From Scratch with Large Language Models,https://arxiv.org/abs/2402.14207,"Yijia Shao, Yucheng Jiang, Theodore A. Kanell, Peter Xu, Omar Khattab, Monica S. Lam",
Material Preparation,Content Generation,arXiv,2023,preprint,1,FairytaleCQA: Integrating a Commonsense Knowledge Graph into Children's Storybook Narratives,https://arxiv.org/abs/2311.09756,"Jiaju Chen, Yuxuan Lu, Shao Zhang, Bingsheng Yao, Yuanzhe Dong, Ying Xu, Yunyao Li, Qianwen Wang, Dakuo Wang, Yuling Su",
Material Preparation,Content Generation,WWW,2018,conference,0,Automatic Hierarchical Table of Contents Generation for Educational Videos,https://dl.acm.org/doi/10.1145/3184558.3186336,"Debabrata Mahapatra, Ragunathan Mariappan, Vaibhav Rajan",
Material Preparation,Content Generation,WWW Companion,2018,workshop,0,Automatic Generation of Quizzes from DBpedia According to Educational Standards,https://dl.acm.org/doi/10.1145/3184558.3191534,"Oscar Rodríguez Rocha, Catherine Faron Zucker",
Material Preparation,Content Generation,WWW Companion,2022,workshop,0,Linking Streets in OpenStreetMap to Persons in Wikidata,https://dl.acm.org/doi/abs/10.1145/3487553.3524267,"Daria Gurtovoy, Simon Gottschalk",
Material Preparation,Content Generation,WWW Companion,2022,workshop,0,Personal Knowledge Graphs: Use Cases in e-learning Platforms,https://arxiv.org/abs/2203.08507,"Eleni Ilkou",
Material Preparation,Content Generation,WWW,2024,conference,0,Generating Privacy-preserving Educational Data Records with Diffusion Model,https://dl.acm.org/doi/10.1145/3589335.3651511,"Quanlong Guan, Yanchong Yu, Xiujie Huang, Liangda Fang, Chaobo He, Lusheng Wu, Weiqi Luo, Guanliang Chen",
Material Preparation,Content Generation,NAACL Findings,2025,conference,1,Classic4Children: Adapting Chinese Literary Classics for Children with Large Language Model,https://arxiv.org/abs/2502.01090,"Jiali Chen, Xusen Hei, Yuqi Xue, Zihan Wu, Jiayuan Xie, Yi Cai",
Specific Scenario,Computer Science,CHI,2023,conference,1,Studying the effect of AI Code Generators on Supporting Novice Learners in Introductory Programming,https://arxiv.org/abs/2302.07427,"Majeed Kazemitabaar, Justin Chow, Carl Ka To Ma, Barbara J. Ericson, David Weintrop, Tovi Grossman",
Specific Scenario,Computer Science,CHI,2024,conference,1,CodeAid: Evaluating a Classroom Deployment of an LLM-based Programming Assistant that Balances Student and Educator Needs,https://arxiv.org/abs/2401.11314,"Majeed Kazemitabaar, Runlong Ye, Xiaoning Wang, Austin Z. Henley, Paul Denny, Michelle Craig, Tovi Grossman",
Specific Scenario,Computer Science,CHI,2024,conference,1,Interactions with Prompt Problems: A New Way to Teach Programming with Large Language Models,https://arxiv.org/abs/2401.10759,"James Prather, Paul Denny, Juho Leinonen, David H. Smith IV, Brent N. Reeves, Stephen MacNeil, Brett A. Becker, Andrew Luxton-Reilly, Thezyrie Amarouche, Bailey Kimmel",
Specific Scenario,Computer Science,CHI,2024,conference,1,ChatScratch: An AI-Augmented System Toward Autonomous Visual Programming Learning for Children Aged 6-12,https://arxiv.org/abs/2402.04975,"Liuqing Chen, Shuhong Xiao, Yunnong Chen, Ruoyu Wu, Yaxuan Song, Lingyun Sun",
Specific Scenario,Computer Science,CHI,2024,conference,1,Exploring How Multiple Levels of GPT-Generated Programming Hints Support or Disappoint Novices,https://arxiv.org/abs/2404.02213,"Ruiwei Xiao, Xinying Hou, John Stamper",
Specific Scenario,Computer Science,ICSE,2024,conference,1,AI-Tutoring in Software Engineering Education,https://arxiv.org/abs/2404.02548,"Eduard Frankford, Clemens Sauerwein, Patrick Bassner, Stephan Krusche, Ruth Breu",
Specific Scenario,Computer Science,ICSE,2024,conference,1,How Far Are We? The Triumphs and Trials of Generative AI in Learning Software Engineering,https://arxiv.org/abs/2312.11719,"Rudrajit Choudhuri, Dylan Liu, Igor Steinmacher, Marco Gerosa, Anita Sarma",
Specific Scenario,Computer Science,Learning@Scale,2024,conference,1,Evaluating the Effectiveness of LLMs in Introductory Computer Science Education: A Semester-Long Field Study,https://arxiv.org/abs/2404.13414,"Wenhan Lyu, Yimeng Wang, Tingting (Rachel)Chung, Yifan Sun, Yixuan Zhang",
Specific Scenario,Computer Science,arXiv,2024,preprint,1,"Accelerating Scientific Discovery with Generative Knowledge Extraction, Graph-Based Representation, and Multimodal Intelligent Graph Reasoning",https://arxiv.org/abs/2403.11996,Markus J. Buehler,
Specific Scenario,Math,CHI,2024,conference,1,Mathemyths: Leveraging Large Language Models to Teach Mathematical Language through Child-AI Co-Creative Storytelling,https://arxiv.org/abs/2402.01927,"Chao Zhang, Xuechen Liu, Katherine Ziska, Soobin Jeon, Chi-Lin Yu, Ying Xu",
Specific Scenario,Math,arXiv,2025,preprint,1,"One Size doesn’t Fit All: A Personalized Conversational Tutoring Agent for Mathematics Instruction",https://arxiv.org/pdf/2502.12633,"Ben Liu, Jihan Zhang, Fangquan Lin, Xu Jia, Min Peng",
Specific Scenario,Medicine,arXiv,2024,preprint,1,Leveraging Large Language Model as Simulated Patients for Clinical Education,https://arxiv.org/abs/2404.13066,"Yanzeng Li, Cheng Zeng, Jialun Zhong, Ruoyu Zhang, Minhao Zhang, Lei Zou",
Specific Scenario,Language,arXiv,2025,preprint,1,Position: LLMs Can be Good Tutors in Foreign Language Education,https://arxiv.org/abs/2502.05467,"Jingheng Ye, Shen Wang, Deqing Zou, Yibo Yan, Kun Wang, Hai-Tao Zheng, Zenglin Xu, Irwin King, Philip S. Yu, Qingsong Wen",
Specific Scenario,Language,NeurIPS - Workshop on Generative AI for Education (GAIED),2024,workshop,1,WordPlay: An Agent Framework for Language Learning Games,https://gaied.org/neurips2023/files/9/9_paper.pdf,"Ariel Blobstein, Daniel Izmaylov, Tal Yifat, Michal Levy, Avi Segal, Avi Segal",
Specific Scenario,Social Good,arXiv,2024,preprint,1,LLM-Powered AI Tutors with Personas for d/Deaf and Hard-of-Hearing Online Learners,https://arxiv.org/abs/2411.09873,"Haocong Cheng, Si Chen, Christopher Perdriau, Yun Huang",
Aided Teaching,Aided Teaching,CHI,2025,conference,1,Co-designing Large Language Model Tools for Project-Based Learning with K-12 Educators,https://arxiv.org/abs/2502.09799,"Prerna Ravi, John Masla, Gisella Kakoti, Grace Lin, Emma Anderson, Matt Taylor, Anastasia Ostrowski, Cynthia Breazeal, Eric Klopfer, Hal Abelson",
Aided Teaching,Aided Teaching,Cognitive Sciences,2012,journal,0,The Knowledge-Learning-Instruction Framework: Bridging the Science-Practice Chasm to Enhance Robust Student Learning,"http://pact.cs.cmu.edu/pubs/Koedinger,%20Corbett,%20Perfetti%202012-KLI.pdf","K. Koedinger, Albert T. Corbett, C. Perfetti",
Aided Teaching,Aided Teaching,Learning@Scale,2024,conference,1,Supporting Self-Reflection at Scale with Large Language Models: Insights from Randomized Field Experiments in Classrooms,https://arxiv.org/abs/2406.07571,"Harsh Kumar, Ruiwei Xiao, Benjamin Lawson, Ilya Musabirov, Jiakai Shi, Xinyuan Wang, Huayin Luo, Joseph Jay Williams, Anna Rafferty, John Stamper, Michael Liut",
Aided Teaching,Aided Teaching,NAACL,2024,conference,1,The Promises and Pitfalls of Using Language Models to Measure Instruction Quality in Education,https://arxiv.org/abs/2404.02444,"Paiheng Xu, Jing Liu, Nathan Jones, Julie Cohen, Wei Ai",
Aided Teaching,Aided Teaching,arXiv,2024,preprint,1,MathVC: An LLM-Simulated Multi-Character Virtual Classroom for Mathematics Education,https://arxiv.org/abs/2404.06711,"Murong Yue, Wijdane Mifdal, Yixuan Zhang, Jennifer Suh, Ziyu Yao",
Aided Teaching,Aided Teaching,arXiv,2024,preprint,1,Simulating Classroom Education with LLM-Empowered Agents,https://arxiv.org/abs/2406.19226,"Zheyuan Zhang, Daniel Zhang-Li, Jifan Yu, Linlu Gong, Jinchang Zhou, Zhanxin Hao, Jianxiao Jiang, Jie Cao, Huiqin Liu, Zhiyuan Liu, Lei Hou, Juanzi Li",
Aided Teaching,Aided Teaching,WWW,2019,conference,0,LearnerExp: Exploring and Explaining the Time Management of Online Learning Activity,https://dl.acm.org/doi/10.1145/3308558.3314140,"Huan He, Qinghua Zheng, Bo Dong",
Dataset & Benchmark,Dataset,AIED,2020,conference,0,EdNet: A Large-Scale Hierarchical Dataset in Education,https://arxiv.org/abs/1912.03072,"Youngduck Choi, Youngnam Lee, Dongmin Shin, Junghyun Cho, Seoyon Park, Seewoo Lee, Jineon Baek, Byungsoo Kim, Youngjun Jang",
Dataset & Benchmark,Dataset,NeurIPS,2023,conference,0,PTADisc: A Cross-Course Dataset Supporting Personalized Learning in Cold-Start Scenarios,https://openreview.net/forum?id=EIydMrHBHP,"Liya Hu, Zhiang Dong, Jingyuan Chen, Guifeng Wang, Zhihua Wang, Zhou Zhao, Fei Wu",
Dataset & Benchmark,Dataset,arXiv,2024,preprint,1,QACP: An Annotated Question Answering Dataset for Assisting Chinese Python Programming Learners,https://arxiv.org/abs/2402.07913,"Rui Xiao, Lu Han, Xiaoying Zhou, Jiong Wang, Na Zong, Pengyu Zhang",
Dataset & Benchmark,Benchmark,NeurIPS,2022,conference,0,pyKT: A Python Library to Benchmark Deep Learning based Knowledge Tracing Models,https://arxiv.org/abs/2206.11460,"Zitao Liu, Qiongqiong Liu, Jiahao Chen, Shuyan Huang, Jiliang Tang, Weiqing Luo",
Dataset & Benchmark,Benchmark,arXiv,2024,preprint,0,EduNLP: Towards a Unified and Modularized Library for Educational Resources,https://arxiv.org/abs/2406.01276,"Zhenya Huang, Yuting Ning, Longhu Qin, Shiwei Tong, Shangzi Xue, Tong Xiao, Xin Lin, Jiayu Liu, Qi Liu, Enhong Chen, Shijing Wang",
Dataset & Benchmark,Benchmark,arXiv,2024,preprint,1,E-EVAL: A Comprehensive Chinese K-12 Education Evaluation Benchmark for Large Language Models,https://arxiv.org/abs/2401.15927,"Jinchang Hou, Chang Ao, Haihong Wu, Xiangtao Kong, Zhigang Zheng, Daijia Tang, Chengming Li, Xiping Hu, Ruifeng Xu, Shiwen Ni, Min Yang",
Dataset & Benchmark,Benchmark,arXiv,2024,preprint,1,Experimental Interface for Multimodal and Large Language Model Based Explanations of Educational Recommender Systems,https://arxiv.org/abs/2402.07910,"Hasan Abu-Rasheed, Christian Weber, Madjid Fathi",
